quarter_idx,feature,entropy,weight,direction,coefficient_for_direction
20,composite_营业外收支净额_利润总额_TTM_x_tms,0.9913171211145423,0.014700391519247971,negative,-1.3646503961636614
20,composite_销售毛利率_TTM_x_dp,0.977551035862263,0.03800681391272161,negative,-1.3319905876933793
20,composite_市净率PB_LF_x_infl,0.9966952991937441,0.005594964106582159,positive,3.158637830704861
20,composite_销售毛利率_TTM_x_ntis,0.977551035862263,0.03800681391272161,negative,-1.086267569673803
20,composite_总市值_证监会算法_x_bm,0.871723096318465,0.21717689856916866,negative,-1.4983591445027564
20,composite_经营活动产生的现金流量净额_营业收入_TTM_x_ep,0.9914262015096919,0.014515714923279497,negative,-0.8656991365013129
20,composite_销售毛利率_TTM_x_mtr,0.9910866772347471,0.015090540374356119,negative,-1.5167592465927298
20,composite_市销率PS_TTM_x_bm,0.9132365364982062,0.14689331728195756,negative,-1.24800323125763
20,composite_经营活动净收益_利润总额_TTM_x_ep,0.9203576952328255,0.13483696790169122,negative,-0.8228981553803202
21,composite_市净率PB_LF_x_bm,0.9293634627028686,0.14585362554338258,negative,-2.3612072765291483
21,composite_销售毛利率_TTM_x_infl,0.9781443039239842,0.045128663343901476,positive,1.848233271815916
21,composite_总资产报酬率_TTM_x_ntis,0.9959942882818899,0.008271180883490227,negative,-1.6430780066654276
21,composite_营业外收支净额_利润总额_TTM_x_tms,0.9951506442593802,0.010013176514355317,negative,-1.4776170294401028
21,composite_市净率PB_LF_x_ep,0.9293634627028686,0.14585362554338258,negative,-1.4856206515801016
21,composite_净资产收益率_1年_增长率_x_bm,0.9966025193001452,0.007015277032947291,negative,-1.4013189923025953
21,composite_市净率PB_LF_x_de,0.9969170933510821,0.006365729821452204,positive,1.341108289743739
21,composite_市净率PB_LF_x_infl,0.9293634627028686,0.14585362554338258,positive,3.298398063901792
21,composite_总市值_证监会算法_x_mtr,0.8710300409333848,0.26630320278753816,positive,1.353963782698714
21,composite_经营活动产生的现金流量净额_营业收入_TTM_x_ep,0.9956173740895773,0.009049450934247307,negative,-1.0332405152329072
21,composite_净资产收益率_TTM_x_dp,0.9974033806074506,0.005361621153178567,negative,-0.974391959512055
21,composite_流通市值_x_de,0.9948174922922681,0.01070108427596884,positive,1.1750826122526874
21,composite_经营活动净收益_利润总额_TTM_x_ep,0.9985320631473849,0.0030310646616500607,negative,-0.7626425337167307
21,composite_销售毛利率_TTM_x_bm,0.9910889207564789,0.018400013150484874,positive,0.8385618017904184
21,composite_市销率PS_TTM_x_bm,0.9163140521019041,0.17279865881063794,negative,-1.2549013482935878
22,composite_市净率PB_LF_x_bm,0.9301630147872189,0.1962625069253302,negative,-1.855884879275048
22,composite_总资产报酬率_TTM_x_itgr,0.9881574283424198,0.033281115942762354,negative,-1.9201756578423228
22,composite_销售毛利率_TTM_x_infl,0.9911197312526824,0.024956171879542268,positive,1.8146133582854644
22,composite_市净率PB_LF_x_svar,0.9957633429280272,0.01190625476450471,positive,1.672723507421876
22,composite_市净率PB_LF_x_de,0.9301630147872189,0.1962625069253302,positive,1.8125960888860055
22,composite_营业收入_1年_增长率_x_itgr,0.9869945024950291,0.0365492802468452,positive,1.4392468965721996
22,composite_市净率PB_LF_x_infl,0.9957633429280273,0.011906254764504399,positive,2.8462270555744453
22,composite_总市值_证监会算法_x_ntis,0.876126095869476,0.34812217184362737,negative,-1.3522460810143264
22,composite_净资产收益率_1年_增长率_x_bm,0.9954439045628128,0.012803970697889754,negative,-1.1633704323807303
22,composite_净资产收益率_TTM_x_de,0.9825794784238625,0.048956798837499434,negative,-1.1488498354400027
22,composite_经营活动净收益_利润总额_TTM_x_mtr,0.9984631993564614,0.004318862648872458,positive,0.976483571200055
22,composite_经营活动产生的现金流量净额_营业收入_TTM_x_de,0.9953476028831034,0.013074606794555509,positive,1.04638414831488
22,composite_营业收入_1年_增长率_x_ntis,0.9869945024950292,0.03654928024684489,negative,-0.9114392118906018
22,composite_经营活动产生的现金流量净额_营业收入_TTM_x_svar,0.991733524070611,0.023231233198234672,positive,1.0151978422222538
22,composite_营业外收支净额_利润总额_TTM_x_tms,0.9993527425053816,0.0018189842836566026,negative,-0.869683916784317
23,composite_销售毛利率_TTM_x_infl,0.9999999999999999,3.452397951662928e-16,positive,2.0373835287381348
23,composite_总资产报酬率_TTM_x_itgr,0.9883874299866675,0.03611095432028838,negative,-1.657179407263223
23,composite_市净率PB_LF_x_bm,0.9310268659768107,0.21448186656174636,negative,-1.5689619428396917
23,composite_市净率PB_LF_x_infl,0.9999999999999999,3.452397951662928e-16,positive,1.8627460106351617
23,composite_市净率PB_LF_x_de,0.931026865976811,0.21448186656174567,positive,2.3935198057147717
23,composite_营业收入_1年_增长率_x_itgr,0.9882957239394353,0.03639612744550474,positive,1.3203302011398277
23,composite_市净率PB_LF_x_itgr,0.9955686991537711,0.013779766430162156,negative,-1.5525714798566663
23,composite_流通市值_x_mtr,0.8795582856563788,0.3745308092804864,positive,1.2437680279514818
23,composite_经营活动产生的现金流量净额_营业收入_TTM_x_ntis,0.9953465932699571,0.014470436576001198,negative,-1.07013476749448
23,composite_净资产收益率_1年_增长率_x_bm,0.9950300782264002,0.015454685563645168,negative,-1.048561001819338
23,composite_销售毛利率_TTM_x_bm,0.9908839519528896,0.02834766070153406,positive,1.0199977891016745
